Sender	Receiver	Amount	Priority
XUL	NRH	403	N
ZFS	KGF	199	N
HGC	UWR	434	U
CCI	EPW	441	HU
WBY	YXH	515	U
MYT	ICL	433	HU
PRR	CZY	632	N
BHA	FEL	1044	N
OVQ	MRB	307	U
QVW	ZWM	343	U
SFB	RDR	534	N
CJM	CXU	753	U
OLL	MCY	673	HU
CHM	YZK	427	U
QYJ	QES	392	N
JHH	URY	551	U
FZM	JTW	560	N
VEK	VRW	550	U
TAH	OUF	501	U
HSX	NCD	581	N
UPD	OFO	286	U
UJF	LZB	365	N
DVT	FCY	251	N
EOZ	JCF	718	HU
QVP	LUO	684	U
SMD	OBI	341	N
WGM	HJY	405	U
YVI	RRN	615	N
HAD	QVW	323	HU
UYU	SYS	942	N
AXX	AQD	874	U
XAD	AJH	705	HU
CKH	PRS	227	HU
DMV	JNF	514	N
BCS	GOX	728	HU
WDQ	QLI	266	N
JAD	KHM	526	HU
WXR	SHG	421	U
DMR	MTP	309	HU
RWC	XVV	408	N
ODH	QXV	633	N
QGE	QSU	762	U
HRF	THI	1247	N
TKE	YJP	802	U
FJQ	AXK	637	HU
NCD	TTP	458	HU
XSS	SIF	624	N
FWK	JBT	394	N
RYV	VPX	407	N
KSL	BMT	487	U
LQN	OBY	636	U
YQX	PAD	641	U
AVF	YCO	186	U
AXX	OVQ	460	N
SQN	PCI	599	N
UNO	FSK	241	HU
ZFS	NZY	559	N
FWD	KJH	975	N
NOI	FQM	433	HU
BOD	FRM	727	U
BSE	GAF	162	N
UOA	HRI	61	U
DKD	SOD	482	U
QSU	YBV	344	N
ZZE	CGX	654	U
ZWM	CDE	614	N
KSL	YVB	620	U
MRZ	KQK	343	HU
KVY	CLK	318	HU
PCI	JCH	442	HU
ROO	DNL	524	N
FPH	JAD	433	HU
IHN	WTJ	419	U
YUI	OMZ	379	U
BMT	GZM	632	U
FWD	VQA	455	U
KZQ	CDH	985	U
JCH	XED	296	N
GWX	XUL	399	HU
UKE	NDQ	713	HU
IUQ	BQI	531	N
EYP	DYX	556	HU
VCD	PGR	290	U
XWG	YZF	547	HU
JND	LVL	349	U
RGG	MVX	460	N
VQA	YCP	728	U
WIQ	KGF	744	HU
LSO	XHN	580	N
UEA	JLY	508	U
MTP	JND	343	N
NDU	EFU	442	HU
ODH	UWM	508	U
AEK	VCH	202	N
XMX	AEL	470	N
BKX	PAE	541	N
GZM	LZB	683	U
QSU	THI	419	HU
YMC	FPI	840	U
AJH	WDQ	486	N
PGD	SFL	816	N
DRR	UAD	682	HU
KQK	LGB	569	HU
SOD	QPJ	856	HU
KPZ	OQM	469	HU
DED	EVT	337	N
SOB	VZB	597	N
VXP	NGF	488	N
RDR	CDH	946	U
AEL	GWX	591	N
IAQ	HJH	313	HU
FAS	NDU	565	HU
ZGX	SFM	267	N
YJG	NIV	823	HU
VPO	JHZ	624	N
XVV	QKC	370	U
IHN	WCN	631	N
KKP	LGB	239	N
RPP	UWV	679	U
UIO	XXS	361	U
SKK	UYU	595	U
GZM	OJA	263	U
VCH	SHU	304	N
TTS	JFB	202	U
XLY	BNS	568	N
SJN	NXX	654	HU
FLU	HGW	395	N
JRS	SHG	765	U
GRC	CBH	629	U
UTG	RCS	554	N
OKW	MYG	662	HU
OPV	TBC	759	U
FCU	FLU	389	N
NIU	HES	647	HU
GKR	MDP	726	U
BNC	ZIM	672	U
QZO	XUL	300	HU
QLI	YXH	235	U
QMI	KPZ	482	N
TKA	EDI	441	N
OOU	VSG	652	U
ZJY	SEH	660	HU
EBF	PZL	98	U
IHN	ZUL	508	U
YGM	IRB	688	N
VOA	LZB	498	U
EEB	LAE	476	U
UEB	DMP	686	U
RKE	SHG	835	U
OBI	HRI	637	U
AEG	NDQ	399	U
ZVR	QVN	590	HU
RSU	RDQ	917	HU
PIH	QGE	414	N
OQA	JTW	478	N
OVR	ITQ	863	N
XLY	EBF	471	U
GAF	UDH	697	U
MYZ	LWJ	465	U
TVY	MOI	559	N
TKE	WAL	252	U
HCB	SFM	145	N
ISF	EZW	447	HU
HTL	EEB	363	U
LAE	PQT	744	HU
RPD	NCD	377	N
AZP	WGA	447	HU
BGA	VZB	499	U
LPK	BQC	678	HU
IGF	KNG	708	N
VSP	GED	585	N
BHA	QVP	713	N
VRW	LQF	751	U
WVY	PGD	36	U
UAD	YUI	840	N
WJZ	UUM	526	HU
ZWM	YUI	746	U
VJA	LIP	618	U
UOA	KNI	430	U
BHP	NYT	470	HU
GWQ	LUO	593	HU
NGH	KOV	438	N
DED	EIQ	499	U
FCT	PBY	379	U
WAH	XZE	227	U
RGG	UUM	220	N
OUA	UWM	697	U
FEL	MHV	269	U
DEG	XPK	349	HU
JMV	ZWM	365	U
TIP	WCF	318	U
JNF	KPZ	616	N
YXH	FAS	412	U
DLI	XVT	712	N
EJO	FVG	287	N
BMV	QGE	1010	HU
NOI	XUL	616	HU
WKT	UQR	309	N
JZZ	AKP	665	HU
GAM	AXS	672	HU
BLT	VKC	609	HU
ITZ	HRI	240	HU
OHP	HBF	761	HU
KQK	YFV	415	U
WLW	BMV	404	N
FWD	SOD	584	N
TTS	RNV	482	U
EDR	VJA	461	HU
KRA	ZCV	131	N
SOW	YPK	361	U
ZIH	UPD	481	N
PRR	DMP	557	U
UTG	UYG	501	N
ZWY	IPZ	673	U
WCB	CQH	368	U
SJN	VXM	291	N
CIN	JFB	451	HU
RKE	ZKP	167	U
OBF	TCY	232	HU
EWS	VXM	674	HU
TYP	TCJ	717	U
PGP	QLI	541	U
JND	JUO	860	HU
KJH	KZS	562	N
HWB	YZD	544	N
PYK	UEA	952	U
RKX	ZUO	556	HU
KQH	UUX	496	HU
MJU	VNF	457	N
RTI	CLK	631	N
ZWD	WIQ	285	U
LIP	XWM	337	U
VQO	GHK	558	N
GGJ	ZWP	508	HU
SKK	VFO	370	HU
HFP	TCY	216	U
DSB	TYL	637	U
CXU	MRZ	629	N
ZWM	III	399	HU
UQU	JRY	780	U
RRN	YMC	857	HU
MYG	NXX	322	HU
ZWP	LQF	779	N
XQU	ECV	283	U
MYG	CUK	1009	U
DSB	NIU	215	HU
JEG	HQQ	704	U
XDF	WAL	679	HU
FDA	VQO	700	N
SXR	RDP	173	HU
PIH	KZS	377	U
HFJ	XAD	590	HU
XOT	TKE	508	HU
JEG	TBE	667	HU
CST	NZW	337	U
VOM	ZTY	480	N
VXM	IAR	557	N
FCU	KZS	628	U
BWO	WCF	397	U
PPW	XUL	591	HU
YWP	IHI	658	HU
TYL	HJX	514	N
BPN	OEF	487	N
VZB	CHS	413	HU
JAZ	OCX	14	N
MRB	OCA	607	N
AOF	SIV	433	HU
LPD	DOO	8	HU
AXX	FCU	406	HU
HFJ	OBY	520	U
URY	CGO	40	HU
WDQ	AYK	736	HU
RUO	LZB	565	N
ZUL	FQW	2	HU
WGO	QFW	393	N
KPY	CNE	425	N
FWD	HWA	624	HU
LPD	TBC	531	N
VNF	VSG	501	N
ZXZ	QVR	854	U
ADF	ZCV	398	HU
UWM	DRR	575	HU
JHH	IKB	445	U
PAD	VWW	674	N
III	SWL	609	N
XED	AZP	420	U
AGK	KHW	557	U
ONE	CIU	517	U
ETI	XEW	536	HU
ZAG	GFM	13	U
KHM	DMR	811	U
UZH	III	552	N
XJY	IJD	686	N
PHV	XSN	705	U
ATK	CNE	443	U
QPC	OLL	813	N
JLJ	HNK	509	U
JHG	EBF	712	HU
RNV	GZM	620	N
JZZ	XED	440	U
IPY	FDB	546	N
FWD	YRG	776	U
CKH	WXR	665	N
SLU	HGD	469	N
HWH	DSB	430	U
XGS	GZO	922	HU
PGR	ITQ	377	N
FEL	HGD	355	U
KHM	PGZ	780	N
HDZ	KZQ	631	HU
ZTY	KDX	522	N
IGT	FAS	570	U
PZL	TNV	355	U
KGV	ERF	579	HU
KIK	LRA	175	N
MZD	DNL	461	HU
RFL	MOI	592	HU
AYI	GMI	876	HU
ALJ	FDA	704	N
ZTW	HRF	184	U
PWS	MCY	538	HU
CIU	XKJ	316	U
PGR	GJK	374	HU
XTP	WMF	391	HU
KSL	CNJ	773	N
KQK	GGJ	291	N
EIV	UAD	713	U
OOU	XWG	815	N
VSG	EOU	393	HU
SDJ	YMC	553	U
BFY	UUM	845	HU
WEW	GIC	390	HU
WXE	FCY	566	N
JHH	FCU	401	N
IHI	CFU	364	HU
RDR	CIU	452	N
PGD	ECV	693	U
BWO	OFO	515	U
GZQ	VQC	238	N
DMR	ZZQ	435	U
KQK	YYU	732	N
RDR	BHB	56	HU
ZAG	HFG	717	N
YZF	KOV	334	N
MIA	AEK	253	N
OPV	SHG	388	HU
KAZ	IHI	244	N
MGV	UDH	487	N
UAZ	JHH	695	HU
LKR	AKP	443	HU
JLP	KOK	204	N
ENT	YWP	715	N
GYS	RUO	242	U
CDH	MOI	658	N
QJQ	RDO	254	HU
OWR	EPW	112	HU
UUZ	JTW	400	U
YZK	DYE	935	HU
VKS	RGG	353	U
RDP	AGK	464	HU
JKR	GXL	206	U
QSJ	FRP	707	N
GQI	ONK	484	N
CEW	HGA	560	HU
FPH	ATK	676	N
MGS	PTO	521	N
WOV	NIU	362	HU
BBY	PNL	585	N
SBH	RWT	434	U
NWY	BHV	751	N
TGG	VWX	379	N
SDS	VIX	494	HU
VPO	AEL	37	HU
EOH	JEG	206	HU
DAZ	BNC	460	N
FSX	SQA	599	HU
ONE	ADF	601	HU
MDP	EBF	553	N
ZLP	UAD	526	U
BUS	AJH	685	U
CTS	APT	808	HU
JFO	VKO	360	N
LHY	TAH	985	U
PHV	WDQ	336	N
TAH	XHF	399	HU
BGV	IOY	343	U
UUX	BKZ	396	U
JRG	PID	423	HU
DSB	LUQ	517	N
WSK	SRE	469	N
SSS	YFV	518	N
JHG	XTN	318	HU
VQC	HMZ	602	N
NXH	YVF	537	U
DVR	EBF	570	U
QSD	JGG	657	N
SDS	WCB	531	HU
OMZ	GMI	977	HU
WTO	EEB	523	HU
WMF	SZE	476	N
XMH	VPX	393	N
KJH	KRA	643	U
HES	VQA	268	N
ZZQ	FAS	355	HU
PNU	MIW	584	U
CJG	JBR	285	N
ZAG	EIV	273	HU
DDV	NVR	475	N
PAD	CGQ	465	U
YUI	TPT	494	HU
HWB	RYV	561	N
SWL	URW	947	HU
WFM	EYP	473	N
TCJ	VRW	312	HU
GFC	IUQ	569	HU
EUI	WVH	514	HU
MRZ	JPB	216	HU
VLG	CTR	363	U
BAX	UIO	534	N
TYX	AVM	12	HU
NVN	JRG	787	U
MHM	UTG	208	N
ARR	FCU	421	N
GIC	OUF	506	N
QGE	CYO	772	U
GYR	GHY	310	U
DQP	NXQ	441	U
BAB	DRL	437	U
NKZ	FZZ	718	N
THI	VPX	424	N
BHA	WLW	404	N
PRS	UJF	717	HU
YQW	SIF	696	N
RBX	TRA	264	U
VKA	QMZ	568	HU
WVY	XVV	321	U
DRV	FVG	463	U
MYZ	QXV	611	N
BOD	RDO	67	U
BXZ	GQI	364	HU
DLI	DMP	379	HU
ADF	QFW	20	U
WXZ	JEG	287	U
QSU	JLY	608	U
ENT	RWH	508	HU
VOM	FSK	776	HU
DMP	CEM	289	U
IOY	CBH	681	HU
KCM	XAD	267	U
ZIH	JIJ	802	N
QHW	GCA	645	U
OEF	RCT	631	N
ZOP	JIA	245	HU
DVR	VXM	101	U
HPD	GRC	491	U
XED	BGV	465	N
PFK	SWT	699	HU
IPZ	IAQ	647	N
BTY	AEK	411	HU
SYS	EPW	410	N
UZH	YHO	318	N
JNF	ZMO	429	HU
STC	XWM	370	U
CNJ	EOZ	337	N
YZD	RQF	469	HU
NUT	ECV	745	HU
PWI	SQA	757	N
VYG	FFJ	267	HU
ZHF	AXS	469	N
BIA	KDX	377	U
EEZ	VKC	454	N
FZM	NER	462	HU
DEG	SIM	264	HU
XUL	XQU	543	HU
RZN	FVE	161	U
FCU	XUL	312	N
PQT	FVE	731	U
VKA	JAZ	434	HU
LNA	QGZ	692	N
YCO	MYT	256	U
XHU	YXQ	797	HU
NQP	MHM	232	HU
QSU	YQX	893	HU
XED	FZP	814	HU
NGF	SLR	787	U
CYO	XCD	540	HU
HTL	OFO	277	U
NXH	EDI	544	N
FPI	FAF	454	U
WKT	VPX	718	HU
EKM	QVN	308	N
JBR	YHO	689	N
BLT	JNF	458	U
YVB	HZZ	258	U
KRP	HJY	307	HU
ZMF	PGD	367	U
JRF	HMZ	989	HU
ODH	EJZ	557	HU
LQF	LBB	656	HU
RRN	MRZ	758	N
IWU	BBP	268	N
MGI	UAD	542	HU
FUZ	YXH	530	HU
WXZ	YMC	382	HU
MJU	FVG	352	U
BNC	NLV	430	U
GGJ	GTY	519	U
PUN	NXH	263	U
AJH	ZUO	431	N
HEP	KGF	585	N
KZQ	JUO	184	HU
LUO	CFU	32	HU
VQE	OKU	590	N
MYG	KPY	259	N
ZJU	CBF	330	U
NXQ	RTI	559	U
KAZ	HDZ	533	N
SKK	UKE	837	N
CKH	MLJ	326	U
BQC	YSR	134	U
CGQ	QFW	16	HU
HMZ	KGF	484	U
UFZ	PRR	454	N
FRM	NOI	592	U
SXR	YBV	594	HU
OVR	URY	692	HU
XSN	PAE	532	N
QFG	WSK	358	HU
AVF	EDI	527	HU
UYY	FCU	573	N
LGB	EDI	507	HU
NLV	DNL	292	N
EOB	MYG	278	N
KKP	SHU	670	HU
TQH	YFS	245	HU
MHM	SRE	423	HU
PPI	SWN	643	U
YSR	NXR	455	HU
JFO	TDX	526	N
MFZ	WBY	396	U
JMU	IBK	672	HU
XXS	UBZ	320	N
JBR	JND	720	N
VKS	YQI	463	HU
PGE	HFP	498	HU
PGP	FLU	621	HU
ONK	OJA	495	U
DWZ	HXU	382	HU
ICL	JTW	628	N
XSK	GZM	562	N
DYX	UWM	557	N
IUQ	FQW	371	HU
SST	CJM	338	U
NVR	YAR	518	U
SIV	YZF	567	HU
NBS	JPB	612	N
GZE	RWH	214	U
HMA	HPA	258	HU
XSD	IHI	424	HU
ILT	WCN	490	HU
NUT	DED	160	N
FZP	CGO	370	U
NDQ	VTT	418	HU
OOU	VOM	402	U
ZZE	BMT	367	U
DRV	LQF	849	N
BHA	PNL	509	U
BSE	TGZ	640	U
WCB	QXV	590	U
YMC	BIA	463	N
SOD	TSF	518	U
GZC	BPN	370	HU
FPH	AYI	650	HU
VKC	OUF	446	U
PPW	DVR	812	HU
IKW	TBE	471	U
QRM	PFY	525	HU
ZIM	MLW	383	U
RJY	FIW	277	U
SLU	UAD	670	HU
BZC	ZQM	546	N
JIJ	UBZ	950	U
HXK	YKU	420	U
UKX	OEF	805	N
XPK	ZWY	283	N
NXH	MPP	710	N
ZVX	JPB	712	U
NYT	GHK	600	U
CGX	BXQ	542	N
NIV	LGB	416	HU
YQW	ITZ	770	HU
PBY	HFG	379	U
DWZ	ZMJ	735	HU
XDF	RNV	412	N
ZUL	ZMJ	594	U
HDZ	QPC	246	HU
SFM	MGS	814	U
MIW	UUZ	618	HU
KZQ	WGM	627	N
MYG	EOH	461	U
EOH	GJV	563	N
TQE	UES	308	HU
NCD	JKR	576	U
AZP	WJZ	736	U
HGW	TWD	219	N
EOB	AYI	292	U
NKZ	EDR	337	N
YAD	MZD	432	HU
FCU	QYR	489	U
JHG	KZQ	359	HU
ZYH	YPK	498	N
BAC	IGF	382	U
TBC	HZZ	533	HU
XZE	MCY	721	U
OPV	IUQ	147	N
OEF	PKO	196	N
HGC	GAM	902	HU
QZJ	JKR	925	HU
NOG	DWZ	386	N
GZM	SOW	313	U
QMI	QJQ	803	U
QFW	XQU	337	HU
UDF	VSP	804	U
GBP	YGM	569	HU
GFC	LUQ	521	N
FDA	XCD	243	HU
KPY	EOB	412	N
XKJ	GZM	757	U
OPV	UAD	537	N
YUI	ENT	124	N
KPY	GRC	567	U
PCI	OVR	361	HU
AEG	YQM	347	HU
GXL	RVY	463	HU
QQE	FZP	146	HU
YBV	OQM	606	N
GOX	MJU	323	HU
LHY	KGO	389	U
QVP	SIM	582	HU
DNH	ZCR	833	HU
OKW	SKK	179	U
BEX	MHV	497	HU
DRV	GZM	723	HU
MYZ	QTZ	510	U
BMT	TKE	312	U
JIA	EZW	389	HU
WAL	SIM	582	N
CIN	YUI	407	N
XEW	JIJ	802	N
EQF	RGQ	672	U
IEG	LIP	794	HU
SUS	PAE	646	U
IGF	LKR	554	HU
QRG	FIW	629	U
VSF	RPP	875	HU
UBZ	LNA	396	U
XMH	UAD	142	HU
RJY	AOF	875	HU
LRA	IGF	709	U
BHV	BGA	400	U
HAD	AJH	288	N
LZB	OJA	185	N
LZB	ZJY	226	U
NGF	MHR	621	N
XGS	GRC	178	U
ZGI	TAY	540	U
CNE	VIX	729	HU
JPE	DMV	895	U
QMZ	YBW	500	HU
RWC	YQW	493	N
MYL	KDV	274	HU
PPI	ZVR	704	N
EPW	PFK	905	N
FWD	WMF	209	HU
FJQ	TNV	486	U
OHP	VCD	617	HU
KHM	MRZ	405	U
KQU	WGO	540	N
GHY	EEZ	651	N
FCU	ONE	225	U
HFP	GEM	680	N
HZE	PKF	15	N
XJY	LQF	75	U
ZVD	ZJY	573	N
VCH	ROO	600	U
HGW	JRY	429	U
BOD	DSB	635	N
EWS	ARR	509	HU
XOT	EIQ	618	N
DKD	KOK	346	U
LIP	EQF	715	HU
JTW	KZS	393	N
STC	ABO	853	N
ZGI	SDJ	610	N
QGE	YXH	631	N
YSR	EOB	137	N
OCX	NYT	387	N
RRJ	MYG	272	U
FIW	ZYH	477	U
SMD	ILT	642	U
URY	ADN	500	HU
KQK	HQX	647	N
JKR	SKP	743	U
FZZ	OQA	588	HU
LWJ	OKW	497	N
DDC	JCF	567	U
NIV	UES	342	U
YXD	QRM	468	N
WIQ	RPP	464	HU
AOF	SIM	201	U
MTK	UUZ	680	N
EOU	UUB	594	N
GZM	EVT	514	HU
LGV	FPR	486	HU
URY	MYG	645	HU
CGQ	RPP	255	U
QVN	ZWD	564	N
OUQ	DOJ	557	U
RPP	HFG	462	N
HPA	ZWD	538	U
KDX	MDP	716	U
CGQ	UJF	442	HU
DOJ	UOA	261	U
NYT	IGF	463	HU
PQT	JYB	406	U
YVB	PGP	547	HU
OJH	VNU	535	N
SKK	FPH	488	U
FSK	ANY	208	U
LPO	MRZ	375	U
DWF	QKC	329	U
TYP	FWD	549	U
RBX	ZXZ	479	U
EKM	LUO	326	HU
TCY	LKR	587	U
NCD	XXS	389	U
FUX	RPP	401	N
QZJ	ERF	742	N
QFG	VWW	325	N
XVD	TVY	666	U
XWG	OCA	124	U
ZCV	YRG	543	HU
VWW	JCF	566	HU
UWM	HRI	625	N
AXS	YBV	632	U
TYP	DRV	247	N
JFB	DRL	854	HU
DSB	CCI	573	U
EDR	BXQ	433	U
YCO	XTX	760	N
UWM	FDB	495	N
WFM	LRA	505	HU
PPW	BKZ	455	N
PFK	LAE	567	N
TNS	FXR	561	N
GZC	THJ	623	HU
NIN	KQK	619	N
BSF	VNP	464	U
WEW	XTN	402	U
VSJ	HFP	635	N
YSR	DVH	579	HU
ZZQ	UYG	476	N
BAE	DOO	619	N
KEU	WBY	678	U
EIQ	ZOP	711	U
BUN	LZB	522	N
ZMJ	GYR	476	HU
ARR	AJH	644	N
VQA	UFZ	371	N
EJV	SMD	467	N
PRR	XGS	488	N
NVT	MVX	122	U
UKJ	GBV	511	N
YZA	OUG	102	HU
FVE	HQX	627	N
BBH	PRR	457	HU
YSR	EVJ	444	HU
BDV	VJA	220	HU
SEH	GBV	553	HU
XWM	AXS	110	U
XTP	CTS	561	U
TSF	RJY	952	N
CBF	SHU	694	HU
FPI	ZUL	450	HU
AZP	CCI	278	U
THN	BNC	481	N
OLL	TYL	565	HU
FCU	IUQ	452	U
SEH	IAQ	259	HU
HRF	PNU	294	U
PAD	ZZG	192	U
KPC	QQE	559	U
GZM	YTD	483	U
ANY	WVH	253	HU
UJF	BSF	666	N
YZK	CIC	675	N
XHN	UZH	781	N
RGQ	WXE	264	U
RAE	XVT	731	HU
QQE	CYO	375	N
RDQ	OTD	373	HU
WTJ	YFF	324	U
XKY	WAL	116	HU
TKA	JHH	638	N
VKG	XQF	466	HU
GYR	HMA	333	U
UYB	HMA	811	N
FZM	XVD	395	HU
TLF	BEX	406	N
ONE	OBI	455	N
AQD	RRJ	517	HU
XAH	RYV	675	U
PRR	WMF	820	N
SWL	MOI	309	N
HWH	CDH	343	U
VPO	DDK	518	HU
XTP	WXZ	585	N
JIJ	CNE	484	HU
BSE	MNR	369	N
GVY	XCD	137	U
CJG	DDC	389	N
ZJU	ZVD	261	U
QYR	MNT	375	U
ATK	CEM	246	HU
BHA	VKA	611	N
PNU	IOY	1001	U
VQE	VKS	510	HU
KRP	GOX	442	U
BHB	SSS	770	U
GBP	DSB	476	N
YXH	JZZ	357	HU
SSP	CHM	712	N
MCY	NRH	656	HU
KOK	BDV	617	N
AEK	JYB	103	N
YUI	VSP	360	HU
KGO	WCB	236	HU
DXL	UPD	131	HU
AXX	RVS	605	HU
IUQ	DOJ	296	U
CBJ	SLR	260	N
QYJ	EVT	77	HU
XGS	OKU	60	N
OWU	BHA	771	U
TYP	CLK	629	HU
QJQ	DMP	563	HU
XEW	BLT	228	N
PGD	UCA	175	HU
DDK	QSJ	833	U
UWM	JAD	244	N
VSJ	CNJ	894	N
WLW	IHI	788	HU
SZB	NVN	178	U
XTP	TIP	371	U
NGA	WXZ	313	N
CIC	IOI	482	HU
WEW	QMI	287	HU
XKY	GTY	663	N
FUM	EEM	197	U
ITQ	UWM	671	U
ZPX	ITZ	659	HU
EUI	JRG	360	N
JIJ	VXM	812	U
GJV	IHN	587	N
GZE	PAE	345	U
BNC	GJV	644	N
FWK	KUA	358	N
FMK	DYX	470	N
SOQ	ZTW	891	HU
SFM	OWU	746	N
ARR	OBF	702	HU
NXH	TTS	358	U
LKF	RSU	504	N
LZB	SDJ	502	N
FFJ	LRF	340	HU
YQW	ZMJ	442	U
AJY	JIJ	447	N
FCY	KCM	1093	U
GAM	UEK	471	N
EVS	IGT	349	U
SRE	DNL	359	N
ISF	UWT	267	HU
CIC	BMV	318	HU
ZCR	LRM	195	N
VFO	ZCV	614	HU
RVY	TGG	721	U
MJU	QSD	343	U
AOF	RJX	601	HU
TYL	HPA	473	U
XJY	JFO	460	U
YBW	BBP	444	HU
STC	NDU	373	N
LWN	TLF	644	HU
ZMF	JAZ	705	N
FJQ	DRR	390	N
XPK	GVY	507	N
OHP	MVX	672	HU
CNE	EOU	716	N
LVL	EKM	79	HU
NQP	RUB	550	N
SLR	UDH	612	U
MFI	PWI	409	HU
UIZ	IJD	755	N
SSS	HJY	878	HU
GYR	EVT	663	HU
TRA	IAQ	599	U
ZAG	WCB	412	HU
PUN	JLP	908	N
III	SKK	938	N
FQM	GKR	267	N
FCY	CGX	5	HU
BGA	KWZ	469	U
SOQ	KCM	452	HU
JIJ	QGP	798	U
ZQM	HPA	695	HU
FLU	KRP	613	HU
YXH	ZFS	486	U
YQI	JLY	588	HU
JTW	OVR	782	N
XVT	NIU	396	N
FWD	QVW	520	U
YKU	CGO	318	HU
XZE	KUL	580	N
UOA	ZLP	792	HU
SHU	LUO	492	HU
NBS	VIX	547	U
DAZ	TGZ	362	HU
QSU	DKD	549	N
OBI	BOD	373	N
PID	YJG	899	U
GZC	LUO	541	U
WIQ	NLV	813	HU
FVG	EAW	734	N
XPK	XMH	259	U
ADN	GZE	337	N
RSU	SUS	668	HU
RXJ	SHG	448	HU
EUI	YFV	454	HU
TVY	TPT	742	N
PYK	ETI	293	N
UEB	SZE	84	U
RQF	GZC	662	N
KFE	JTW	669	N
YPK	AAK	306	N
YXD	QJQ	347	HU
FXR	KVQ	103	HU
UEA	GZQ	423	N
ECV	SWX	581	HU
UWV	ZTY	313	U
YBV	DMP	530	N
ERF	UWV	271	N
XSK	GZC	614	U
DVH	AKP	469	HU
HEP	HJH	286	U
TSF	KME	372	N
CXU	TYX	702	U
ZZE	IHI	571	U
EYP	DDC	613	U
IPY	SDJ	570	U
FZZ	QRM	413	HU
EEM	JHZ	462	U
NGA	XTP	645	HU
OEF	PGZ	899	U
VLW	FAS	225	HU
YMC	FAF	778	U
XWM	JTW	324	U
TGG	KRP	668	N
BUP	SIM	111	HU
CJM	BLT	48	U
XTP	GOX	549	U
DWF	THN	648	HU
YTD	HJH	753	N
UXY	RSU	257	HU
LND	BBH	458	HU
VSP	ZVX	524	HU
OUG	IBK	619	N
BUS	XKY	366	U
OJA	CBH	297	HU
SOY	ITQ	467	HU
RPP	ROO	494	U
MVX	SJI	795	N
PZL	ZTY	744	HU
AEL	JMV	303	U
WBH	NDU	334	N
QVW	PUN	922	U
XHN	KUA	429	U
PHV	FQM	577	N
HNK	RTI	277	U
III	AJH	687	HU
UAD	HMA	729	HU
RRN	ZMJ	616	U
NOI	HWA	608	U
UQU	LND	254	U
FZP	ILR	1138	N
VXM	SFL	350	U
NTD	LZB	698	U
GCA	RQR	298	N
ZWM	YPC	572	N
MLW	CHM	538	N
ZKP	NXA	443	U
QYJ	QRS	218	U
GZO	WOV	505	U
YVI	JIA	517	N
TNV	OUQ	617	HU
XQF	DVF	396	HU
LPD	NVR	406	U
QKC	SIF	515	U
JLJ	UYB	564	U
ZJB	GEM	565	HU
CGW	LPD	537	U
WDQ	ZVR	555	N
SRZ	YZA	548	HU
AYI	XVD	228	U
AEL	LGV	603	HU
XHN	MTJ	577	HU
GEM	GKR	462	N
MNT	DNH	509	U
UHB	GBV	794	N
LGB	ONE	216	HU
DSB	HFJ	268	HU
VKA	XSD	298	U
YMC	CTS	524	HU
OZR	QFG	323	N
KPY	MLW	479	N
MNR	NRH	589	N
WGO	FLU	898	N
RVY	SIV	720	N
MPP	UWT	270	N
XAP	BGC	460	U
DQP	KME	393	U
VYG	EEM	333	N
VCH	OPV	649	N
RVS	UDF	474	N
SRZ	PNL	624	N
WVH	LZJ	471	U
DXL	GKR	341	N
YMC	CBV	713	N
XOT	JOJ	933	HU
AYK	UQU	469	U
PNL	HES	163	HU
GZQ	WNA	635	U
TAY	FLU	381	N
GEM	YKD	434	HU
JLP	RVY	625	U
DDK	CKH	714	N
IBK	WGM	303	U
DDV	BXZ	366	HU
ILT	LBB	553	U
HRI	BSF	729	U
NXA	QSD	601	N
LNA	LGB	291	N
HEG	CHS	97	N
ZMF	QLI	476	U
YKU	MYG	576	U
OZR	TYX	154	U
DVH	LRA	345	U
GQI	NDQ	663	N
JXG	NZW	556	N
SZE	TBC	622	N
TLF	EIQ	515	U
JXG	CTS	113	HU
MNR	JGG	255	U
NTD	VKG	525	HU
CIC	GIC	235	U
MYG	NVR	742	HU
JMX	FDA	583	HU
EPW	OZR	621	U
UAD	OEF	424	HU
BFY	YZF	820	U
JFO	DQP	249	HU
TRK	WXZ	477	U
RPD	YWP	527	U
JHH	NSL	521	HU
KQH	LRM	508	HU
KJH	LBB	599	HU
WPO	WBY	647	N
NZY	BUP	610	U
SLU	KEU	705	U
LHY	OCA	163	U
QGE	MHV	274	U
ISF	OUF	37	N
GZC	WVY	534	U
NTD	LRM	354	N
ENT	PID	229	HU
JRS	ZZE	272	N
YQM	EWS	368	U
YQM	XAH	760	HU
JLY	HWH	119	HU
JAD	ZPX	214	HU
IJD	RYV	631	N
NVT	TAH	257	HU
FDB	CBF	321	U
OWR	FRP	554	N
JHH	HMA	686	U
XSS	SLU	469	U
FEL	ENT	767	N
HSU	UYG	648	HU
YYU	ILL	445	U
LVL	IPZ	481	N
TSM	SWV	580	U
OFO	AJU	134	HU
YXQ	JGK	526	N
KVQ	KGV	473	HU
FSX	CIN	296	N
JND	XTP	246	HU
GMI	JLY	365	HU
YBB	XTN	462	HU
YJG	KHW	457	N
TPT	UXP	442	HU
YJP	UWV	599	N
ZZE	ARR	679	N
ZZQ	AXK	598	HU
SOB	BAX	548	U
